NOME DO PRODUTO;REFERENCIA_QUANTIDADE DE FOTOS DESSA REFERENCIA;DETALHES;VALOR;DETALHE 2; 
S-BULLY LC;Y02134P1331-H7943_1;WORKEA-RR COLOR CODE;R$ 595,00;; 
S-CLEVER LS;Y01983P3144-H1408_1;WORKEA-RR HERITAGE LEATHER;R$ 895,00;; 
S-DESE MG LOW;Y02109P2462-H7947_1;WORKEA-RR HERITAGE LEATHER;R$ 855,00;; 
S-DVELOWS LOW;Y02126P3009-H7949_1;WORKEA-RR COLOR CODE;R$ 855,00;; 
S-KB ATHL LACE;Y02110P2215-H7982_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-KB ATHL LACE;Y02110P2215-H7983_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-KB LOW LACE II;Y01998P3152-H7044_1;WORKEA-RR COLOR CODE;R$ 755,00;; 
S-KB LOW LACE II;Y01998P3152-H7473_1;WORKEA-RR COLOR CODE;R$ 755,00;; 
S-RUA LOW90;Y02118P0823-H7944_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-RUA SL LOW;Y02156P3161-H7976_2;WORKEA-RR COLOR CODE;R$ 1.195,00;; 
S-SERENDIPITY LOW;Y02159P3163-H7827_2;WORKEA-RR COLOR CODE;R$ 795,00;; 
S-SERENDIPITY LOW;Y02159P3163-H7999_1;WORKEA-RR COLOR CODE;R$ 795,00;; 
S-SERENDIPITY LOW;Y02159P3163-T8013_1;WORKEA-RR COLOR CODE;R$ 795,00;; 
S-SK SLG;Y02106P3021-T4338_1;WORKEA-RR COLOR CODE;R$ 695,00;; 
S-SK SLG;Y02106P3021-T4339_1;WORKEA-RR COLOR CODE;R$ 695,00;; 
S-SK SOE;Y02065P3156-T1015_2;WORKEA-RR COLOR CODE;R$ 655,00;; 
S-SK SOE;Y02065P3156-T6062_1;WORKEA-RR COLOR CODE;R$ 655,00;; 
S-SK SOE;Y02065P3156-T8013_1;WORKEA-RR COLOR CODE;R$ 655,00;; 
F-URBHANITY CROSS;X05894P1516-T8013_1;WORKEA-RR;R$ 495,00;; 
F-BOLD DUFFLE;X05477P1705-T6065_2;WORKEA-RR BOLD MESSAGE;R$ 1.195,00;; 
F-BOLD DUFFLE;X05477P1705-T8013_2;WORKEA-RR BOLD MESSAGE;R$ 1.195,00;; 
F-BOLD DUFFLE;X05477P3188-T3111_2;WORKEA-RR BOLD MESSAGE;R$ 1.195,00;; 
MIRANO;X06264PR230-T6065_1;WORKEA-RR ;R$ 525,00;; 
MIRANO;X06264PR230-T8013_1;WORKEA-RR COPIRY;R$ 525,00;; 
BOLD BACK II;X06330P1705-T6065_1;WORKEA-RR BOLD MESSAGE;R$ 795,00;; 
BOLD BACK II;X06330P1705-T8013_1;WORKEA-RR BOLD MESSAGE;R$ 795,00;; 
BOLD BACK II;X06330P3188-T3111_1;WORKEA-RR BOLD MESSAGE;R$ 795,00;; 
F-SUSE BELT;X06090P2249-H5067_3;WORKEA-RR LOGO EXECUTION;R$ 455,00;; 
FAROH;X06820P3196-H8013_2;WORKEA-RR LOGO EXECUTION;R$ 895,00;; 
